num,sample,population,species,ploidy,Genotype,Latitude,Longitude
360,ARGR3,ARGR,Pumila,diploid,,36.28403,-91.18691
361,VCN30,VCN,Pumila,triploid,,41.956749,-82.516898
362,VCN31,VCN,Pumila,triploid,,41.956749,-82.516898
363,VCN15,VCN,Pumila,triploid,,41.956749,-82.516898
364,VCN26,VCN,Pumila,triploid,,41.956749,-82.516898
365,VCN17,VCN,Pumila,triploid,,41.956749,-82.516898
366,VCN33,VCN,Pumila,triploid,,41.956749,-82.516898
367,VCN14,VCN,Pumila,triploid,,41.956749,-82.516898
368,VCN28,VCN,Pumila,triploid,,41.956749,-82.516898
369,VADS2,VADS,Pumila,triploid,,37.89687,-79.79977
370,SCCC11,SCCC,Unknown,unknown,,34.335226,-82.028893
371,SCCC7,SCCC,Unknown,unknown,,34.335226,-82.028893
372,TXFW10,TXFW,Pumila,diploid,,32.837848,-97.476646
373,TXFW19,TXFW,Pumila,triploid,,32.837848,-97.476646
374,TXFW2,TXFW,Pumila,triploid,,32.837848,-97.476646
375,TXFW4,TXFW,Pumila,triploid,,32.837848,-97.476646
376,TXFW14,TXFW,Pumila,diploid,,32.837848,-97.476646
377,TXFW6,TXFW,Pumila,triploid,,32.837848,-97.476646
378,TXFW16,TXFW,Pumila,diploid,,32.837848,-97.476646
