morphid	Spec	Co	Loc	Habitat	Date	Herbarium	drew	group	Ploidy	PetioleL	LfL	LfW	lf w higher lobe mm	lf w lower lobe mm	Lf widest	basalveinL	Lf margin	LfTNoAlan	LfTeeth	lfTLower	lfTUpper	secondaryVeins	PedicelL	Pedicel indumentum	Drupe mat	DrupeL	Calculate, don't measure:	Lf l:w ratio	Lf widest point	Pedicel:petiole l	Basal vein:lf l ratio
m052	MIWA03				2017	DAO	TRUE	n	3	5	61	48	22	26	20	39			30	17	13	3	7	pilose	mat	6					
m053	OHCQ20				2017	DAO	TRUE	n	3	11	87	57	26	31	25	45			24	15	9	4	7	sparsely pilose	mat	6.5					
m054	OHCQ18				2017	DAO	TRUE	n	3	5	33	23	11	12	11	18			24	12	12	4	5	pilose	mat	6					
m055	OHCQ17				2017	DAO	TRUE	n	3	5	40	25	12	13	13	23			21	9	12	4	7	short-pilose	mat	5					
m056	OHCQ13				2017	DAO	TRUE	n	3	9	76	51	23	28	18	38			30	15	15	5	9	pilose	mat	6					
m057	OHCQ10				2017	DAO	TRUE	n	3	4	31	21	10	11	5	14			24	14	10	4	4	a few hairs	mat	5					
m058	OHCQ05				2017	DAO	TRUE	n	3	6	47	27	12	15	15	17			12	7	5	5	5	sparse pilose	mat	6					
m059	OHCQ04				2017	DAO	TRUE	n	3	9	50	33	14	19	14	22			13	5	8	5	7	sparse pilose	mat	6					
m060	VAWR12				2016	DAO	TRUE	s	3	6	73	46	22	24	20	33			8	2	6	5	10	tomentose	mat	6.5					
m061	KYHR07				2016	DAO	TRUE	s	3	3	41	24	11	13	9	19			11	7	4	3	7	tomentose	mat	7					
m062	TWS16-07				2016	DAO	TRUE	s	3	9	90	46	22	24	20	46			2	0	2	4	16	sparse pilose		6					
m063	VADS				2016	DAO	TRUE	s	3	5	43	23	11	12	11	25			0	0	0	4	7	tomentose		7					
m064	PABE1				2016	DAO	TRUE	n	3	5	50	35	16	19	18	28			23	13	10	4	11	sparse pilose		7					
m065	PABE02				2016	DAO	TRUE	n	3	5	61	39	19	20	16	26			25	12	13	4	7	sparse pilose		7					
m066	PASH				2016	DAO	TRUE	n	3	7	64	40	17	23	18	33			29	17	12	4	13	pilose at base		8					
m067	TXHO19				2017	DAO	TRUE	s	3	5	53	33	14	19	11	25			0	0	0	4	7	pilose	mat	7					
m068	TXFW06				2017	DAO	TRUE	s	3	6	59	26	12	14	10	22			0	0	0	5	9	tomentose		6					
m069	TXFW13				2017	DAO	TRUE	s	3	4	59	34	15	19	19	30			0	0	0	4	13	sparsely  tomentose		6					
m070	TXFW12				2017	DAO	TRUE	s	3	4	68	49	21	28	27	40			13	9	4	4	10	tomentose		7					
m071	TXFW10				2017	DAO	TRUE	s	2	5	40	24	11	13	13	20			0	0	0	4	6	glabrous		4					
m072	ALHR07				2017	DAO	TRUE	s	3	8	60	38	16	22	20	30			0	0	0	4	9	tomentose		6					
m073	ALHR06				2017	DAO	TRUE	s	3	4	50	30	13	17	12	23			1	1	0	4	7	tomentose		6					
m074	ALCC07				2017	DAO	TRUE	s	2	9	66	33	14	19	22	28			0	0	0	4	12	glabrous		6					
m075	ALAC21				2017	DAO	TRUE	s	3	6	47	31	13	18	14	19			3	2	1	3	9	tomentose		7					
m076	ALAC17				2017	DAO	TRUE	s	3	7	55	46	22	24	19	28			16	8	8	4	9	tomenntose		6					
m077	ALAC16				2017	DAO	TRUE	s	3	5	45	31	12	19	11	25			0	0	0	3	6	tomentose		6					
m078	ALAC15				2017	DAO	TRUE	s		5	52	43	20	23	7	30			0	0	0	3	8	tomentose		7					
m079	ALAC14				2017	DAO	TRUE	s	3	5	42	23	10	13	11	17			0	0	0	2	6	tomentose		6					
m080	ALAC13				2017	DAO	TRUE	s		7	46	33	14	19	13	29			0	0	0	2	8	crisped		6					
m081	ARGR16				2017	DAO	TRUE	s		7	60	35	16	19	16	23			0	0	0	4	10	glabrous		6					
m082	ARGR11				2017	DAO	TRUE	s	3	8	70	39	17	22	19	37			0	0	0	4	16	glabrous		6					
m083	ARGR09				2017	DAO	TRUE	s	2	11	95	54	26	28	23	38			3	1	2	4	15	tomentose		6					
m084	ARGR07				2017	DAO	TRUE	s		7	55	33	18	15	12	30			0	0	0	3	9	tom/pilose		5					
m085	SCCC11				2017	DAO	TRUE	s		5	56	30	14	16	10	25			5	1	4	4	9	tom/pilose		6					
