channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
ARCC14 + Soy 2018-05-11 577.LMD,389.942809459822,442.274613092197,87.9252864387286,171.448962673854,0.054117818154011,0.04151676911056,4.62627708735398,2.01806808545327,1.28209125718054,,
ARCC15 + Soy 2018-05-11 578.LMD,652.177152027738,1135.39921205848,79.3704291389754,159.351547290436,0.137306761946606,0.047583208591971,2.26708006262537,2.04942173126752,1.24520957732394,,
ARCC16 + Soy 2018-05-11 579.LMD,368.076923699416,438.410038329285,86.1992263700004,167.994404624894,0.093697402494993,0.037502705083246,0.974420666382762,NA,1.28276930655027,,
ARCC17 + Soy 2018-05-11 580.LMD,770.167106506716,1104.37785093315,83.5727791692963,169.596595799904,0.078016865701266,0.045458931880464,0.907360007935992,2.08867462953267,1.23193479761673,,
ARCC3 + Soy 2018-05-11 572.LMD,676.641664529159,500.450782597957,86.9852184476687,167.241861429082,0.069397289215335,0.030540650983795,1.01369075744582,1.96982291284512,1.30029075412669,,
ARCC4 + Soy 2018-05-11 573.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARCC6 + Soy 2018-05-11 574.LMD,439.269132937695,296.618951842315,85.9637133962869,161.37502842681,0.085543999192948,0.031308912075642,1.07156460550602,1.94377061955343,1.33173816039442,,
ARCC8 + Soy 2018-05-11 575.LMD,279.761610572434,425.512304055541,90.5861282181821,173.189568992273,0.045532202276021,0.025424591472388,5.05993120529954,1.99082272015331,1.30761524416958,,
ARGR11 + Soy 2018-05-11 566.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARGR13 + Soy 2018-05-11 567.LMD,360.978529961202,572.724691808033,85.6201586123765,166.623330424069,0.046738959489411,0.056095369536913,4.19534570176543,1.95430710388728,1.28463640707557,,
ARGR15 + Soy 2018-05-11 568.LMD,802.96011839051,1017.88213753919,83.9826021956668,169.389929983993,0.109947972909345,0.055202713076499,1.2632116826302,1.95980463457009,1.2394863467327,,
ARGR18 + Soy 2018-05-11 569.LMD,330.027341410102,361.269756064101,81.5919575866678,156.140210527629,0.071433491459021,0.029513982707545,1.02157073561043,1.97549790146163,1.30638925922657,,
ARGR19 + Soy 2018-05-11 570.LMD,158.182338647833,236.720372260898,86.0141294168501,166.561105240168,0.060264610659871,0.059982389689612,1.82761269589749,1.96651374649707,1.29102963883472,,
ARGR3 + Soy 2018-05-11 563.LMD,392.166577325898,509.945029927992,84.756763919676,165.905206372577,0.04936008489823,0.043920849089862,2.91332271964804,2.0148212350839,1.27718662019165,,
ARGR5 + Soy 2018-05-11 564.LMD,457.503299863833,500.724507456813,82.9553078300881,161.78457297812,0.090260787588107,0.029546296807474,1.02979988435021,2.00446088491168,1.28187914185902,,
ARGR9 + Soy 2018-05-11 565.LMD,379.867959529851,575.58604592301,83.2259450974457,160.211786908248,0.068535384668138,0.053573447463867,77.4368120842999,2.5,1.29868636233844,,
MSCS10 + Soy 2018-05-11 587.LMD,1391.86683925073,470.107596318805,88.1282982735289,169.011124991212,0.086971067182756,0.047744444506402,1.00479492960091,1.98441560296289,1.3035872383861,,
MSCS11 + Soy 2018-05-11 588.LMD,492.432097058961,1018.19597180251,82.8233040968882,161.054986912675,0.06221204456162,0.043731048110589,2.78137368927598,2.04053709124678,1.28563706229406,,
MSCS13 + Soy 2018-05-11 589.LMD,370.318531417458,573.036166544047,85.5231330525298,160.31161565695,0.061114811888571,0.040817792160104,4.53775678365203,2.01673320505837,1.33370143988101,,
MSCS14 + Soy 2018-05-11 590.LMD,913.914548403043,966.606748104349,78.8180209502082,160.53330589439,0.165623733729886,0.050113453736261,1.05931831947873,2.0525336367566,1.22744032011121,,
MSCS15 + Soy 2018-05-11 591.LMD,283.615720039746,207.466631842478,80.9548946416549,161.619557920504,0.120034458821935,0.040907192461089,1.14168145147551,NA,1.25224471102492,,
MSCS16 + Soy 2018-05-11 592.LMD,1236.76247041539,245.595026707491,82.6439472942229,162.225764309666,0.079089472926608,0.041236467723535,1.19248597114599,2.04218427593282,1.27359466675816,,
MSCS2 + Soy 2018-05-11 581.LMD,2169.54530638719,465.862356211316,86.7765228588769,172.083919876029,0.088713645643271,0.037230164330885,1.21477165697612,2.002013120112,1.26067157990984,,
MSCS3 + Soy 2018-05-11 582.LMD,986.56159247045,624.089369354901,86.3535934825064,164.488511655571,0.108098210323981,0.067279066435961,1.18240006383567,1.99114659100033,1.31245630186206,,
MSCS5 + Soy 2018-05-11 583.LMD,939.568836053595,444.517987933832,84.250734427725,168.189680807963,0.071099221409574,0.039502649579745,2.05813482993396,2.04973759209157,1.2523172352637,,
MSCS6 + Soy 2018-05-11 584.LMD,1638.33297231982,608.127477322696,86.2449444119322,165.795690153192,0.08881767583029,0.057418505028644,1.24685186064255,1.97861904297759,1.30047024039412,,
MSCS7 + Soy 2018-05-11 585.LMD,1408.22383716235,1280.55953621438,84.0795018644348,170.818547721892,0.107999279720604,0.059237820022034,1.28753368224104,1.97551385495019,1.23053823758828,,
